"ProductID,ProductName,Category,Price,StockQuantity,Brand,Description,ProductImageURL,DateAdded"
"P001,Wireless Mouse,Electronics,29.99,150,Logitech,A reliable wireless mouse,http://example.com/mouse.jpg,2023-01-10"
"P002,Cotton T-Shirt,Apparel,19.99,300,Hanes,Comfortable cotton t-shirt,http://example.com/tshirt.jpg,2023-02-05"
"P003,Smartphone,Electronics,699.99,200,Samsung,Latest model smartphone,http://example.com/smartphone.jpg,2023-03-01"
"P004,Running Shoes,Footwear,89.99,120,Nike,Comfortable running shoes,http://example.com/running_shoes.jpg,2023-04-12"
"P005,Leather Wallet,Accessories,49.99,80,Tommy Hilfiger,Premium leather wallet,http://example.com/wallet.jpg,2023-02-25"
"P006,Noise Cancelling Headphones,Electronics,199.99,75,Sony,Top-notch noise cancelling headphones,http://example.com/headphones.jpg,2023-01-18"
"P007,4K TV,Electronics,999.99,50,Lg,High definition 4K television,http://example.com/4ktv.jpg,2023-03-15"
"P008,Blender,Home Appliances,59.99,110,Nutribullet,High speed blender for smoothies,http://example.com/blender.jpg,2023-02-28"
"P009,Fitness Tracker,Electronics,129.99,220,Fitbit,Track your fitness goals,http://example.com/fitnesstracker.jpg,2023-03-20"
"P010,Espresso Machine,Home Appliances,249.99,60,DeLonghi,Make your favorite espresso at home,http://example.com/espresso_machine.jpg,2023-01-30"
"P011,Office Chair,Furniture,149.99,40,Herman Miller,Ergonomic office chair,http://example.com/office_chair.jpg,2023-02-15"
"P012,Stainless Steel Watch,Accessories,199.99,90,Seiko,Stylish stainless steel watch,http://example.com/watch.jpg,2023-04-05"
"P013,Vacuum Cleaner,Home Appliances,89.99,85,Hoover,Powerful vacuum cleaner,http://example.com/vacuum_cleaner.jpg,2023-03-25"
"P014,Smart Thermostat,Electronics,249.99,100,Nest,Control your home's temperature remotely,http://example.com/smart_thermostat.jpg,2023-02-01"
"P015,Electric Kettle,Home Appliances,39.99,130,Breville,Fast boiling electric kettle,http://example.com/electric_kettle.jpg,2023-01-12"
"P016,Graphic Tablet,Electronics,349.99,55,Wacom,High precision graphic tablet,http://example.com/graphic_tablet.jpg,2023-03-10"
"P017,Wireless Keyboard,Electronics,49.99,200,Logitech,Compact and comfortable wireless keyboard,http://example.com/wireless_keyboard.jpg,2023-02-20"
"P018,Gaming Console,Electronics,499.99,90,Sony,Latest generation gaming console,http://example.com/gaming_console.jpg,2023-03-30"
"P019,Bluetooth Speaker,Electronics,89.99,170,JBL,Portable Bluetooth speaker,http://example.com/bluetooth_speaker.jpg,2023-02-22"
"P020,Yoga Mat,Accessories,29.99,150,Lululemon,Non-slip yoga mat,http://example.com/yoga_mat.jpg,2023-04-08"
"P021,Instant Camera,Electronics,79.99,140,Fujifilm,Capture moments instantly,http://example.com/instant_camera.jpg,2023-01-15"
"P022,Electric Toothbrush,Health,59.99,210,Oral-B,Keep your teeth clean with this electric toothbrush,http://example.com/electric_toothbrush.jpg,2023-02-18"
"P023,Dual Monitor Stand,Office Supplies,39.99,95,Vivo,Adjustable dual monitor stand,http://example.com/dual_monitor_stand.jpg,2023-03-12"
"P024,Sunglasses,Accessories,89.99,180,Ray-Ban,Stylish polarized sunglasses,http://example.com/sunglasses.jpg,2023-03-28"
"P025,Laptop Backpack,Accessories,59.99,220,Samsonite,Durable and spacious laptop backpack,http://example.com/laptop_backpack.jpg,2023-01-17"
"P026,Portable Charger,Electronics,29.99,250,Anker,High capacity portable charger,http://example.com/portable_charger.jpg,2023-03-03"
"P027,Smart Light Bulb,Electronics,19.99,300,Philips Hue,Control your lighting with your phone,http://example.com/smart_light_bulb.jpg,2023-02-27"
"P028,Electric Shaver,Health,79.99,140,Braun,Smooth and close shave every time,http://example.com/electric_shaver.jpg,2023-01-21"
"P029,Air Purifier,Home Appliances,129.99,60,Dyson,Keep your indoor air clean,http://example.com/air_purifier.jpg,2023-03-05"
"P030,Coffee Maker,Home Appliances,99.99,110,Keurig,Convenient coffee maker,http://example.com/coffee_maker.jpg,2023-02-10"
"P031,Action Camera,Electronics,249.99,75,GoPro,Capture every adventure,http://example.com/action_camera.jpg,2023-04-01"
"P032,Bike Helmet,Sports,49.99,130,Giro,Protective and lightweight bike helmet,http://example.com/bike_helmet.jpg,2023-01-25"
"P033,Wireless Earbuds,Electronics,149.99,190,Apple,Compact wireless earbuds,http://example.com/wireless_earbuds.jpg,2023-02-13"
"P034,Standing Desk,Furniture,299.99,50,FlexiSpot,Adjustable height standing desk,http://example.com/standing_desk.jpg,2023-03-17"
"P035,Kitchen Knife Set,Home & Kitchen,99.99,80,Wüsthof,High-quality kitchen knives,http://example.com/kitchen_knife_set.jpg,2023-01-05"
"P036,Smartwatch,Electronics,299.99,120,Garmin,Track your health and activities,http://example.com/smartwatch.jpg,2023-02-25"
"P037,Water Bottle,Accessories,19.99,250,Hydro Flask,Stainless steel water bottle,http://example.com/water_bottle.jpg,2023-03-02"
"P038,Hair Dryer,Health,49.99,100,Conair,Fast drying hair dryer,http://example.com/hair_dryer.jpg,2023-02-14"
"P039,Bed Sheets,Home & Kitchen,59.99,90,Brooklinen,Soft and breathable bed sheets,http://example.com/bed_sheets.jpg,2023-03-09"
"P040,Dog Leash,Pet Supplies,24.99,180,Ruffwear,Durable dog leash,http://example.com/dog_leash.jpg,2023-04-07"
"P041,Winter Jacket,Apparel,149.99,70,The North Face,Warm and comfortable winter jacket,http://example.com/winter_jacket.jpg,2023-01-03"
"P042,Portable Grill,Outdoor,129.99,50,Weber,Compact and easy-to-use portable grill,http://example.com/portable_grill.jpg,2023-03-13"
"P043,Tablet,Electronics,399.99,95,Apple,High performance tablet,http://example.com/tablet.jpg,2023-02-16"
"P044,Electric Scooter,Outdoor,299.99,60,Xiaomi,Convenient electric scooter,http://example.com/electric_scooter.jpg,2023-03-21"
"P045,Camera Lens,Electronics,499.99,40,Canon,High-quality camera lens,http://example.com/camera_lens.jpg,2023-02-03"
"P046,Fitness Dumbbells,Sports,59.99,150,Bowflex,Adjustable fitness dumbbells,http://example.com/dumbbells.jpg,2023-01-08"
"P047,Leather Belt,Accessories,39.99,110,Gucci,Stylish leather belt,http://example.com/leather_belt.jpg,2023-02-04"
"P048,Smart Doorbell,Electronics,179.99,90,Ring,Video doorbell for security,http://example.com/smart_doorbell.jpg,2023-03-19"
"P049,Electric Guitar,Musical Instruments,499.99,40,Fender,Classic electric guitar,http://example.com/electric_guitar.jpg,2023-02-07"
"P050,Camping Tent,Outdoor,149.99,70,REI,Waterproof camping tent,http://example.com/camping_tent.jpg,2023-03-06"
"P051,Projector,Electronics,399.99,55,Epson,High definition home projector,http://example.com/projector.jpg,2023-01-11"
"P052,Smart Lock,Electronics,199.99,75,Yale,Secure smart lock,http://example.com/smart_lock.jpg,2023-02-19"
"P053,Baby Monitor,Baby,129.99,90,Motorola,Keep an eye on your baby,http://example.com/baby_monitor.jpg,2023-03-23"
"P054,Ski Jacket,Apparel,199.99,60,Columbia,Waterproof ski jacket,http://example.com/ski_jacket.jpg,2023-04-03"
"P055,Laptop Stand,Office Supplies,29.99,140,Rain Design,Ergonomic laptop stand,http://example.com/laptop_stand.jpg,2023-02-26"
"P056,Electric Drill,Tools,89.99,70,DeWalt,Powerful electric drill,http://example.com/electric_drill.jpg,2023-01-28"
"P057,Digital Picture Frame,Electronics,99.99,100,Nixplay,Display your photos digitally,http://example.com/digital_picture_frame.jpg,2023-03-08"
"P058,Electric Griddle,Home Appliances,49.99,60,Presto,Cook a variety of foods,http://example.com/electric_griddle.jpg,2023-04-10"
"P059,Bluetooth Headset,Electronics,69.99,120,Plantronics,Wireless Bluetooth headset,http://example.com/bluetooth_headset.jpg,2023-01-07"
"P060,Men's Dress Shoes,Footwear,129.99,90,Clarks,Classic men's dress shoes,http://example.com/dress_shoes.jpg,2023-02-08"
"P061,Electric Blanket,Home & Kitchen,79.99,110,Biddeford,Stay warm with this electric blanket,http://example.com/electric_blanket.jpg,2023-03-07"
"P062,Air Fryer,Home Appliances,129.99,80,Cuisinart,Crispy food with less oil,http://example.com/air_fryer.jpg,2023-01-19"
"P063,Robot Vacuum,Home Appliances,399.99,55,iRobot,Automatic robot vacuum,http://example.com/robot_vacuum.jpg,2023-02-12"
"P064,Camping Chair,Outdoor,39.99,140,Helinox,Lightweight camping chair,http://example.com/camping_chair.jpg,2023-03-22"
"P065,Men's Suit,Apparel,299.99,50,Hugo Boss,Premium men's suit,http://example.com/mens_suit.jpg,2023-02-21"
"P066,Kitchen Mixer,Home Appliances,249.99,70,Kitchenaid,Versatile kitchen mixer,http://example.com/kitchen_mixer.jpg,2023-01-09"
"P067,Mountain Bike,Sports,699.99,35,Trek,High-performance mountain bike,http://example.com/mountain_bike.jpg,2023-02-09"
"P068,Leather Gloves,Accessories,49.99,80,Coach,Stylish leather gloves,http://example.com/leather_gloves.jpg,2023-03-14"
"P069,Ultrasonic Humidifier,Home Appliances,79.99,120,Levoit,Keep your air moist,http://example.com/humidifier.jpg,2023-02-23"
"P070,Fire Pit,Outdoor,199.99,40,Outland Living,Enjoy outdoor warmth,http://example.com/fire_pit.jpg,2023-03-16"
"P071,Men's Watch,Accessories,249.99,60,Tag Heuer,Classic men's wristwatch,http://example.com/mens_watch.jpg,2023-02-06"
"P072,Baby Stroller,Baby,299.99,50,Graco,Comfortable and safe baby stroller,http://example.com/baby_stroller.jpg,2023-04-02"
"P073,Women's Handbag,Accessories,199.99,75,Michael Kors,Stylish women's handbag,http://example.com/handbag.jpg,2023-01-06"
"P074,Home Security Camera,Electronics,149.99,80,Arlo,Keep your home secure,http://example.com/home_security_camera.jpg,2023-03-11"
"P075,Espresso Beans,Groceries,24.99,150,Lavazza,Rich espresso beans,http://example.com/espresso_beans.jpg,2023-02-24"
"P076,Wireless Router,Electronics,129.99,90,Netgear,High-speed wireless router,http://example.com/wireless_router.jpg,2023-03-04"
"P077,Men's Jeans,Apparel,69.99,110,Levi's,Classic men's jeans,http://example.com/mens_jeans.jpg,2023-01-22"
"P078,Smart Scale,Health,49.99,140,Withings,Track your weight and health,http://example.com/smart_scale.jpg,2023-02-02"
"P079,Coffee Grinder,Home Appliances,49.99,100,Baratza,Precision coffee grinder,http://example.com/coffee_grinder.jpg,2023-03-24"
"P080,Wireless Mouse,Electronics,39.99,170,Razer,High-performance wireless mouse,http://example.com/gaming_mouse.jpg,2023-02-11"
"P081,Men's Sunglasses,Accessories,129.99,90,Maui Jim,Polarized men's sunglasses,http://example.com/mens_sunglasses.jpg,2023-01-26"
"P082,Pressure Cooker,Home Appliances,99.99,60,Instant Pot,Multi-functional pressure cooker,http://example.com/pressure_cooker.jpg,2023-03-18"
"P083,Men's Polo Shirt,Apparel,49.99,130,Ralph Lauren,Classic men's polo shirt,http://example.com/polo_shirt.jpg,2023-02-17"
"P084,Women's Boots,Footwear,159.99,80,Dr. Martens,Durable women's boots,http://example.com/womens_boots.jpg,2023-03-01"
"P085,Home Theater System,Electronics,799.99,40,Bose,Immersive home theater sound,http://example.com/home_theater_system.jpg,2023-04-04"
"P086,Kids' Bicycle,Sports,199.99,60,Huffy,Durable kids' bicycle,http://example.com/kids_bicycle.jpg,2023-01-14"
"P087,Baby Crib,Baby,299.99,30,Delta Children,Safe and comfortable baby crib,http://example.com/baby_crib.jpg,2023-02-15"
"P088,Men's Hiking Boots,Footwear,129.99,70,Timberland,Sturdy men's hiking boots,http://example.com/hiking_boots.jpg,2023-03-29"
"P089,Women's Scarf,Accessories,29.99,100,Burberry,Stylish women's scarf,http://example.com/scarf.jpg,2023-01-13"
"P090,Portable Hard Drive,Electronics,79.99,90,Western Digital,Compact portable storage,http://example.com/portable_hard_drive.jpg,2023-02-13"
"P091,Smart Plug,Electronics,19.99,180,TP-Link,Control your devices remotely,http://example.com/smart_plug.jpg,2023-03-27"
"P092,Men's Winter Boots,Footwear,159.99,60,Sorel,Keep your feet warm,http://example.com/winter_boots.jpg,2023-04-09"
"P093,Electric Toothbrush,Health,99.99,140,Philips Sonicare,Advanced electric toothbrush,http://example.com/advanced_electric_toothbrush.jpg,2023-02-04"
"P094,Women's Jeans,Apparel,79.99,110,Gap,Comfortable women's jeans,http://example.com/womens_jeans.jpg,2023-01-20"
"P095,Wireless Charging Pad,Electronics,29.99,150,Belkin,Convenient wireless charging,http://example.com/wireless_charging_pad.jpg,2023-03-26"
"P096,Men's Wallet,Accessories,59.99,90,Fossil,Classic men's leather wallet,http://example.com/mens_wallet.jpg,2023-02-28"
"P097,Bluetooth Speaker,Electronics,99.99,160,Bose,Portable and powerful speaker,http://example.com/portable_speaker.jpg,2023-01-31"
"P098,Pet Carrier,Pet Supplies,49.99,100,Petmate,Comfortable pet carrier,http://example.com/pet_carrier.jpg,2023-02-12"
"P099,Gaming Headset,Electronics,79.99,140,SteelSeries,High quality gaming headset,http://example.com/gaming_headset.jpg,2023-03-31"
"P100,Yoga Pants,Apparel,39.99,200,Athleta,Comfortable and flexible yoga pants,http://example.com/yoga_pants.jpg,2023-01-24"
